Source,Description,ID,Units,missing,complete,n,mean,sd,0 percentile,25 percentile,median,75 percentile,100 percentile,Distribution histogram,Analyzed timeframe ,Link,Resolution,Data access,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Precipitation Spring,CHELSA Pre. spring,mm,0,1131,1131,57.37,20.34,0.19,41.63,53.54,69.96,160.28,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Precipitation Summer,CHELSA Pre. summer,mm,0,1131,1131,62.14,28.19,1.19,43.98,66.52,78.56,189.43,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Interannual precipitation ,CHELSA Interann. pre.,mm,0,1131,1131,108.59,34.96,24.47,86.15,100.4,121.64,343.3,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO1 = Annual mean temperature,CHELSA BIO1,°C,0,1131,1131,9.69,3.6,-12.72,8,9.6,11.68,22.26,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO2 = Mean diurnal range,CHELSA BIO2,°C,0,1131,1131,18.47,3.38,5.13,16.27,19,20.09,28.1,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO3 = Isothermality,CHELSA BIO3,°C,0,1131,1131,47.53,3.97,36.59,44.46,47.31,50.3,58.5,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO4 = Temperature seasonality,CHELSA BIO4,°C,0,1131,1131,695.66,173.47,157.49,608.45,658.1,768.31,1337.79,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO5 = Max temperature of warmest month,CHELSA BIO5,°C,0,1131,1131,29.17,4.27,7.95,25.35,29.86,31.88,39.4,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO6 = Min temperature of coldest month,CHELSA BIO6,°C,0,1131,1131,-9.9,7.25,-35.32,-13.48,-9.45,-5.09,17.97,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO7 = Temperature annual range,CHELSA BIO7,°C,0,1131,1131,39.07,7.67,9.11,34.93,38.86,43.09,64.16,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO8 = Mean temperature of wettest quarter,CHELSA BIO8,°C,0,1131,1131,13.37,5.88,-10.41,8.08,15.2,17.68,26.25,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO9 = Mean temperature of driest quarter,CHELSA BIO9,°C,0,1131,1131,7.28,10.29,-16.97,-0.74,4.85,16.91,28.32,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO10 = Mean temperature of warmest quarter,CHELSA BIO10,°C,0,1131,1131,19.5,3.5,-0.16,17.11,18.78,22.07,28.46,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO11 = Mean temperature of coldest quarter,CHELSA BIO11,°C,0,1131,1131,0.51,5.07,-24.1,-1.86,0.64,3.68,20.43,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO12 = Annual precipitation,CHELSA BIO12,mm,0,1131,1131,745.22,232.55,86.41,600.53,700.88,855.36,2481.98,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO13 = Precipitation of wettest month,CHELSA BIO13,mm,0,1131,1131,88.7,28.23,15.63,70.89,82.55,100.16,292.24,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO14 = Precipitation of driest month,CHELSA BIO14,mm,0,1131,1131,36.29,17.87,0.12,26.84,34.63,46.76,118.11,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO15 = Precipitation seasonality (coefficient of variation),CHELSA BIO15,mm,0,1131,1131,28.04,13.59,7.96,19.74,24.77,33.75,160.83,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO16 = Precipitation of wettest quarter,CHELSA BIO16,mm,0,1131,1131,256.91,81.63,42.46,205.4,239.9,293.71,871.72,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO17 = Precipitation of driest quarter,CHELSA BIO17,mm,0,1131,1131,115.77,55.38,0.49,83.8,110.11,149.99,358.2,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO18 = Precipitation of warmest quarter,CHELSA BIO18,mm,0,1131,1131,186.3,88.91,0.91,131.28,199.83,239.98,570.69,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA BIO19 = Precipitation of coldest quarter,CHELSA BIO19,mm,0,1131,1131,170.78,78.82,6.05,122.32,150.95,202.99,722.75,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Cloud cover spring,CRU Cld spring,%,1,1130,1131,62.74,6.31,29.17,58.49,62.49,67.59,78.91,________,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Cloud cover summer,CRU Cld summer,%,1,1130,1131,52.26,13.04,17.89,44.45,56.39,59.86,84.1,________,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Diurnal temperature range spring,CRU Dtr spring,ºC,1,1130,1131,9.91,1.6,5.09,8.7,10.01,10.94,16.71,________,1901-2006,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Diurnal temperature range summer,CRU Dtr summer,ºC,1,1130,1131,10.97,2.36,4.66,9.2,10.82,12.15,19.78,________,1901-2007,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Frost day frequency spring,CRU Frs spring,days,1,1130,1131,18.05,6.85,0.13,14.12,19.26,22.93,30.67,________,1901-2008,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Frost day frequency summer,CRU Frs summer,days,1,1130,1131,2.21,2.28,0,0.63,1.68,2.87,24.44,________,1901-2009,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Precipitation spring,CRU Pre spring,mm,1,1130,1131,60.66,23.02,8.67,44.24,55.06,75.07,188.82,________,1901-2010,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Precipitation summer,CRU Pre summer,mm,1,1130,1131,68.07,34.32,0,46.05,72.21,81.93,323.59,________,1901-2011,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Daily mean temperature spring,CRU Tmp spring,ºC,1,1130,1131,87.34,31.75,-31.2,68.83,89.97,104.5,214.53,________,1901-2012,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Daily mean temperature summer,CRU Tmp summer,ºC,1,1130,1131,18.71,3.26,6.81,16.41,18.21,21.29,29.02,________,1901-2013,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily minimum temperature spring,CRU Tmn spring,ºC,1,1130,1131,37.94,30.98,-79.47,22.77,37.87,52.4,177.77,________,1901-2014,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily minimum temperature summer,CRU Tmn summer,ºC,1,1130,1131,132.47,28.16,12.67,116.8,126.22,145.67,218.53,________,1901-2015,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily maximum temperature spring,CRU Tmx spring,ºC,1,1130,1131,13.71,3.45,1.11,11.47,13.95,15.7,25.17,________,1901-2016,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Monthly average daily maximum temperature summer,CRU Tmx summer,ºC,1,1130,1131,24.22,4.01,9.88,20.92,24.17,26.91,36.35,________,1901-2017,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Vapour pressure spring,CRU Vap spring,hPa,1,1130,1131,8.21,1.67,0.63,7.6,8.06,8.93,18.2,________,1901-2018,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Vapour pressure summer,CRU Vap summer,hPa,1,1130,1131,14.42,2.58,1.03,13.26,14.38,15.29,24.69,________,1901-2019,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Wet day frequency spring,CRU Wet spring,days,1,1130,1131,1.18,0.29,0.25,1.03,1.17,1.4,2.18,________,1901-2020,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Wet day frequency summer,CRU Wet summer,days,1,1130,1131,1.02,0.43,0,0.7,1.11,1.35,2.18,________,1901-2021,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Potential evapotranspiration spring,CRU PET spring,mm,50,1081,1131,24.2,5.4,9.92,20.17,23.83,27.75,47.21,________,1901-2022,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
Consortium for Spatial Information (CGIAR-CSI). CRU-TS v3.10.01 Historic Climate Database for GIS,CRU Potential evapotranspiration summer,CRU PET summer,mm,50,1081,1131,40.87,10.38,17.5,32.62,37.96,46.79,73.21,________,1901-2023,http://www.cgiar-csi.org/data/uea-cru-ts-v3-10-01-historic-climate-database,0.5°,15-Mar-17,,,
ETOPO1,Bedrock topography,Bedrock Topography,meters,7,1124,1131,34.28,1.91,26,33,34,35,58,________,NA,https://www.ngdc.noaa.gov/mgg/global/,1 arc-minute,1-Dec-16,,,
FAO World maps of climatological net primary production of biomass,FAO Sensitivity of NPP with respect to changes in annual mean Precipitation dNPP/dT,FAO dNPPdP,g/m2/mm,0,1131,1131,0.86,0.63,0,0,1.21,1.34,2.01,________,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,,,
FAO World maps of climatological net primary production of biomass,FAO Sensitivity of NPP with respect to changes in annual mean temperature dNPP/dT,FAOdNPPdT,g/m2/ºC,0,1131,1131,28.77,39.26,0,0,0,78.67,89.96,________,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,,,
FAO World maps of climatological net primary production of biomass,FAO NPP based on CRU,FAO CRU NPP,g/m2,0,1131,1131,1086.83,285.79,376.56,920.47,1087.83,1213.35,2667.27,________,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,,,
FAO World maps of climatological net primary production of biomass,FAO NPP based on GPCP,FAO GPCC NPP,g/m2,0,1131,1131,1103.64,290.88,355.64,930.93,1098.29,1276.11,2667.27,________,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,,,
FAO World maps of climatological net primary production of biomass,FAO NPP based on GPCP VASClimO,FAO GPCC VASClimO NPP,g/m2,0,1131,1131,1108.69,288.92,345.18,930.93,1066.91,1276.11,2667.27,________,1976 - 2000,http://www.juergen-grieser.de/downloads/NetPrimaryProduction/npp.htm,0.5°,11-Apr-17,,,
FAO Koeppen Climatology,FAO GPCC VASClimO Precipitation,FAO GPCC VASClimO Precipitation,mm,0,1131,1131,851.36,825.33,179.77,599.22,719.06,898.83,7640.05,________,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,,,
FAO Koeppen Climatology,FAO CRU Precipitation,FAO CRU Precipitation,mm,0,1131,1131,857.19,844.26,209.73,599.22,689.1,868.87,7640.05,________,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,,,
FAO Koeppen Climatology,FAO CRU Temperature,FAO CRU Temperature,ºC,0,1131,1131,9.14,4.35,-4.31,7.35,8.95,10.55,30.89,________,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,,,
FAO Koeppen Climatology,FAO GPCC Fulldata Precipitation,FAO GPCC Fulldata Precipitation,mm,0,1131,1131,26.72,16.15,-1.3,15.65,21.74,31.74,100.87,________,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,,,
FAO Koeppen Climatology,FAO Aridity index of De Martonne CRU,FAO Aridity index De Martonne CRU,Index,0,1131,1131,42.48,18.02,10.67,32.81,38.34,50.4,100.79,________,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,,,
FAO Koeppen Climatology,FAO Aridity index of De Martonne GPCC Fulldata,FAO Aridity index De Martonne GPCC Fulldata,Index,0,1131,1131,41.33,14.82,5.93,31.62,38.34,49.01,100.79,________,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,,,
FAO Koeppen Climatology,FAO Aridity index of De Martonne GPCC VASClimO,FAO Aridity index of De Martonne GPCC VASClimO,Index,0,1131,1131,42.01,15.16,6.32,32.41,38.34,49.41,100.79,________,1976 - 2000,http://www.juergen-grieser.de/downloads/Koeppen-Climatology/CommonData/CommonData.htm,0.5°,11-Apr-17,,,
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil reference bulk density,HWSD Topsoil ref. bulk dens.,kg/dm3,78,1053,1131,1.33,0.11,0.28,1.27,1.34,1.39,1.57,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil clay fraction,HWSD Topsoil clay fraction,%,78,1053,1131,19.84,7.34,4.25,16.5,20.42,22.1,51,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil gravel content,HWSD Topsoil gravel content,%,78,1053,1131,9.38,4.41,1,6.38,9.4,12.16,28,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil silt fraction,HWSD Topsoil silt fraction ,%,78,1053,1131,31.84,9.3,5.4,28.7,33.74,37.75,56.2,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil_sand_fraction,HWSD Topsoil sand fraction,%,78,1053,1131,48.32,14.33,13,38.8,44.85,54.4,89.6,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil organic carbon,HWSD Topsoil organic carbon,%,87,1044,1131,1.27,2.38,0.2,0.39,0.46,1.16,38.46,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Topsoil pH,HWSD Topsoil pH,#-log(H+),78,1053,1131,6.16,0.85,4.43,5.44,6.15,6.6,8.4,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil reference bulk density,HWSD Subsoil ref bulk dens.,kg/dm3,87,1044,1131,1.4,0.11,0.18,1.36,1.4,1.46,1.64,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil clay fraction,HWSD Subsoil clay fraction,%,87,1044,1131,22.59,8.24,4.3,16.6,22.5,27.1,54,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil gravel content,HWSD Subsoil gravel content,%,87,1044,1131,10.92,5.15,1,7.9,10.88,14.2,24.44,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil silt fraction,HWSD Subsoil silt fraction,%,87,1044,1131,29.55,8.69,5,25.94,31.23,34.75,52.1,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil sand fraction,HWSD Subsoil sand fraction,%,87,1044,1131,47.86,14.21,13,36.9,44.67,58.47,90,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil organic carbon,HWSD Subsoil organic carbon,%,87,1044,1131,1.27,2.38,0.2,0.39,0.46,1.16,38.46,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
FAO Harmonized World Soil Database v 1.2,HWSD Subsoil pH,HWSD Subsoil pH,#-log(H+),87,1044,1131,6.24,0.96,4.72,5.26,6.25,6.91,8.58,________,2009,http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/,30 arc-second,4-Feb-16,,,
GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE Soil carbonate carbon density ,ISRIC-WISE Soil carbonate carbon dens.,kg C/m**2 for 0-100cm depth range,0,1131,1131,1.3,0.78,0,1,1,2,6,________,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_2,0.5°,21-Nov-16,,,
GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Soil organic carbon density  (0-30 cm depth range),ISRIC-WISE Soil org. carbon dens., kg C/m**2 for 0-100cm depth range,0,1131,1131,3.04,1.53,0,2,3,4,7,________,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_6,0.5°,21-Nov-16,,,
GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Soil pH (0-30 cm depth range),ISRIC-WISE Soil pH, 0-30 cm depth range,0,1131,1131,2.85,1.78,0,2,2,5,5,________,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_3,0.5°,21-Nov-16,,,
GLOBAL DATA SET OF DERIVED SOIL PROPERTIES (ISRIC WISE),ISRIC WISE  Total available water capacity ,ISRIC-WISE Total avail.water cap.,mm water per 1 m soil depth,0,1131,1131,6.44,2.67,0,7,8,8,9,________,2000,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=546_1,0.5°,21-Nov-16,,,
ISRIC Soilgrids,SoilGrids absolute depth to bedrock,SoilGrids BDRICM,cm,15,1116,1131,197.04,11.07,34,200,200,200,200,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids bulk density,SoilGrids BLDFIE,kg/m3,15,1116,1131,1174.49,171,663,1048,1205.5,1313,1539,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids cation exchange capacity of soil,SoilGrids CECSOL ,meq/100 g,15,1116,1131,28.52,7.57,10,24,28,33,64,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids clay content,SoilGrids CLYPPT,%,15,1116,1131,17.6,5.24,3,14,18,21,44,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids course fragments volumetric,SoilGrids CRFVOL,%,15,1116,1131,11.09,6.2,0,6,11,16,34,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids soil organic carbon stock per ha,SoilGrids OCSTHA,kg/m3,15,1116,1131,30.14,12.4,3,21,29,38,85,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids soil organic carbon content,SoilGrids ORCDRC ,‰,15,1116,1131,111.05,59.18,0,62,107,156,386,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids soil pH H2O,SoilGrids PHIHOX,#-log(H+),15,1116,1131,61.17,7.69,43,56,62,67,80,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids soil pH KCL,SoilGrids PHIKCL,#-log(H+),15,1116,1131,52.63,6,36,49,53,57,69,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids silt content,SoilGrids SLTPPT,%,15,1116,1131,34.81,8.26,10,29,35,40,67,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
ISRIC Soilgrids,SoilGrids sand content,SoilGrids SNDPPT,%,15,1116,1131,47.6,11.93,12,39,46.5,56,86,________,2012–2016,ftp://ftp.soilgrids.org/data/recent/,250 m,14-Jul-17,,,
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Nutrient availability,GAEZ Nutrient availability,1: No or slight limitations,0,1131,1131,1.72,1.07,0,1,1,2,7,________,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,30 arc-second,25-Jul-17,,,
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Nutrient retention capacity,GAEZ Nutrient retention capacity,2: Moderate limitations,0,1131,1131,1.53,0.98,0,1,1,2,7,________,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,30 arc-second,25-Jul-17,,,
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ  Rooting conditions,GAEZ Rooting conditions,3: Sever limitations,0,1131,1131,1.91,1.24,0,1,2,2,7,________,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,30 arc-second,25-Jul-17,,,
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Oxygen availability to roots,GAEZ Oxygen availability to roots,4: Very severe limitations,0,1131,1131,1.25,0.94,0,1,1,1,7,________,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,30 arc-second,25-Jul-17,,,
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Excess salts,GAEZ Excess salts,5: Mainly non-soil,0,1131,1131,1.16,0.88,0,1,1,1,7,________,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,30 arc-second,25-Jul-17,,,
FAO Global Agro-ecological Zones Assessment for Agriculture (GAEZ 2008),FAO GAEZ Toxicity,GAEZ Toxicity,6: Permafrost area,0,1131,1131,1.13,0.85,0,1,1,1,7,________,2008,http://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/harmonized-world-soil-database-v12/en/,30 arc-second,25-Jul-17,,,
Global Distribution of Plant-Extractable Water Capacity of Soil,Global Distribution of Plant-Extractable Water Capacity of Soil,Plant-Extractable Water Capacity of Soil,cm water per cm soil,142,989,1131,12.79,4.69,-1,9.9,14.9,15.5,26.9,________,1996,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=545_1,0.5°,21-Nov-16,,,
